                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.76175,                  1.692,                0.83195,                 1.0456,                0.46799,                0.16342,                0.15643,                0.11779,                 0.4361,                0.15198,                0.14083,                0.09878,                  1.399,                 3.8177,                 2.2288,                 1.5771,             0.00027457,             0.00027457,             0.00027457
                     72,                0.75582,                 1.6835,                0.84227,                 1.0511,                0.47091,                0.16074,                0.15687,                0.11907,                0.44777,                0.14496,                0.13992,                0.09847,                 1.4124,                 3.8751,                 2.2448,                 1.5877,             0.00027251,             0.00027251,             0.00027251
                     73,                0.77281,                  1.712,                0.83877,                 1.0586,                 0.4607,                0.16314,                0.15364,                 0.1177,                0.46135,                0.14673,                0.13851,                0.09756,                  1.412,                 3.7563,                 2.2208,                 1.5659,             0.00027045,             0.00027045,             0.00027045
                     74,                0.76521,                 1.6786,                0.83406,                 1.0532,                0.42782,                0.16721,                 0.1543,                0.11525,                0.43777,                0.14793,                0.13891,                0.09661,                 1.4177,                 3.6997,                 2.2087,                 1.5787,             0.00026838,             0.00026838,             0.00026838
                     75,                0.75683,                 1.6591,                0.82364,                 1.0496,                0.44119,                0.15892,                0.15041,                0.11342,                0.47726,                0.13769,                0.13304,                0.09502,                 1.4163,                 3.6978,                 2.2654,                 1.5681,             0.00026632,             0.00026632,             0.00026632
                     76,                0.74958,                 1.6694,                0.80358,                 1.0394,                0.47837,                0.15784,                0.15537,                0.11575,                0.45824,                0.14681,                0.14287,                0.09889,                 1.4477,                 3.8207,                 2.2509,                 1.6205,             0.00026425,             0.00026425,             0.00026425
                     77,                0.74102,                 1.6384,                 0.8053,                 1.0376,                0.41682,                0.15546,                0.14982,                0.11209,                0.39746,                0.14415,                0.13722,                0.09537,                 1.4096,                 3.8538,                 2.2831,                 1.5712,             0.00026219,             0.00026219,             0.00026219
                     78,                0.74681,                  1.629,                0.79026,                 1.0377,                0.44212,                0.15432,                0.15167,                0.11275,                0.42708,                0.14022,                0.13419,                0.09522,                 1.4134,                  3.847,                 2.3066,                 1.5692,             0.00026012,             0.00026012,             0.00026012
                     79,                0.72427,                  1.601,                0.77738,                 1.0304,                0.45549,                0.16248,                0.15569,                0.11406,                0.49402,                0.14121,                0.13727,                0.09606,                 1.4164,                 3.8802,                 2.2771,                 1.5968,             0.00025806,             0.00025806,             0.00025806
                     80,                0.73935,                 1.6416,                0.78422,                 1.0325,                0.46102,                0.16885,                0.16386,                0.12113,                0.48752,                0.14698,                0.14535,                0.10172,                  1.397,                 3.8645,                  2.185,                 1.5807,               0.000256,               0.000256,               0.000256
                     81,                0.74244,                 1.6213,                0.77235,                 1.0363,                0.48234,                0.15633,                0.15486,                0.11544,                 0.4647,                 0.1426,                0.13772,                 0.0967,                 1.4302,                 3.9363,                 2.2392,                 1.6155,             0.00025393,             0.00025393,             0.00025393
                     82,                0.73627,                 1.6156,                0.78197,                 1.0315,                  0.433,                0.16206,                0.15743,                0.11809,                0.44112,                0.14189,                0.14083,                0.09896,                  1.386,                 3.9484,                 2.2502,                 1.5658,             0.00025187,             0.00025187,             0.00025187
                     83,                 0.7197,                 1.5924,                0.76381,                 1.0194,                0.43661,                0.16343,                0.15631,                0.11604,                0.43796,                0.14485,                0.13975,                0.09861,                 1.3943,                 3.8377,                 2.2305,                 1.5756,              0.0002498,              0.0002498,              0.0002498
                     84,                0.74312,                 1.6015,                0.76379,                 1.0237,                0.44398,                0.15801,                 0.1539,                0.11564,                0.51761,                0.13503,                0.13921,                0.09673,                 1.4021,                 3.7656,                 2.2114,                 1.5856,             0.00024774,             0.00024774,             0.00024774
