                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.2911,                 2.9534,                 2.0978,                 1.0576,                0.71977,                0.37375,                0.41329,                0.31747,                0.72406,                0.35668,                0.39239,                0.25979,                 1.3604,                 3.2492,                 2.0057,                 1.0716,              0.0018684,              0.0018684,              0.0018684
                     85,                 1.2763,                 2.9054,                 2.0817,                 1.0514,                0.74309,                0.37043,                0.41305,                  0.318,                0.71783,                0.35789,                0.39103,                0.25716,                 1.3492,                 3.2345,                 1.9881,                 1.0663,              0.0017668,              0.0017668,              0.0017668
                     86,                 1.2706,                 2.9136,                 2.0453,                 1.0487,                0.76122,                0.36531,                 0.4127,                0.31907,                0.73369,                0.35358,                0.39239,                0.25751,                 1.3454,                 3.2249,                  1.994,                 1.0672,              0.0016652,              0.0016652,              0.0016652
                     87,                 1.2669,                 2.8654,                 2.0153,                 1.0507,                0.74371,                0.37442,                0.41508,                0.32129,                0.72319,                0.35985,                0.39421,                0.26115,                 1.3426,                 3.2326,                 1.9891,                 1.0635,              0.0015636,              0.0015636,              0.0015636
                     88,                 1.2616,                 2.8928,                 2.0162,                 1.0454,                0.72573,                0.37748,                0.41561,                0.32192,                0.70029,                0.36233,                0.39408,                0.26135,                 1.3363,                   3.22,                 1.9709,                 1.0607,              0.0014619,              0.0014619,              0.0014619
                     89,                 1.2584,                 2.8755,                 2.0116,                 1.0456,                0.75927,                0.37354,                0.41617,                0.32457,                0.74609,                0.35833,                0.39604,                0.26474,                  1.328,                 3.2203,                 1.9556,                 1.0581,              0.0013603,              0.0013603,              0.0013603
                     90,                 1.2681,                 2.8996,                  2.012,                 1.0514,                0.75727,                0.38177,                0.42194,                0.32763,                0.73402,                0.36787,                0.40079,                0.26921,                 1.3227,                 3.2123,                 1.9375,                 1.0555,              0.0012587,              0.0012587,              0.0012587
                     91,                 1.2831,                 2.9356,                  1.697,                  1.037,                0.76832,                0.37642,                0.41992,                0.32866,                0.76175,                0.35932,                0.40008,                0.26818,                 1.3141,                 3.1944,                 1.9175,                 1.0533,              0.0011571,              0.0011571,              0.0011571
                     92,                 1.2663,                 2.8729,                 1.6575,                 1.0269,                0.77463,                0.38406,                0.42355,                0.33212,                0.74356,                0.37229,                0.40314,                0.26967,                 1.3119,                 3.1934,                 1.9103,                 1.0506,              0.0010555,              0.0010555,              0.0010555
                     93,                 1.2566,                 2.8713,                 1.6279,                 1.0231,                0.77735,                0.38151,                0.42504,                 0.3331,                0.77483,                0.36325,                0.40315,                0.26845,                 1.3142,                 3.1986,                 1.9002,                 1.0499,             0.00095392,             0.00095392,             0.00095392
                     94,                  1.248,                 2.8426,                 1.6053,                 1.0139,                0.73936,                0.38952,                0.42964,                0.33796,                0.76089,                0.36988,                0.40835,                0.27352,                 1.3061,                 3.1701,                 1.8821,                 1.0451,             0.00085232,             0.00085232,             0.00085232
                     95,                 1.2405,                 2.8359,                 1.5759,                 1.0131,                0.76952,                0.38684,                0.42989,                0.33912,                0.78931,                 0.3667,                0.41028,                0.27505,                 1.2999,                 3.1793,                 1.8753,                 1.0445,             0.00075071,             0.00075071,             0.00075071
                     96,                 1.2338,                 2.8416,                 1.5571,                 1.0131,                0.78559,                0.38648,                0.43057,                0.33956,                0.78703,                0.37056,                 0.4101,                0.27412,                 1.2962,                  3.184,                 1.8495,                 1.0446,             0.00064911,             0.00064911,             0.00064911
                     97,                 1.2254,                 2.8325,                  1.543,                 1.0049,                0.79033,                0.38727,                0.43159,                0.34113,                0.78217,                0.37454,                0.41271,                0.27594,                 1.2883,                 3.1611,                 1.8485,                 1.0405,              0.0005475,              0.0005475,              0.0005475
                     98,                  1.224,                 2.8112,                 1.5303,                 1.0017,                0.77329,                0.39126,                0.43398,                0.34204,                0.78341,                0.37397,                0.41546,                0.27782,                 1.2848,                 3.1655,                  1.831,                 1.0357,              0.0004459,              0.0004459,              0.0004459
                     99,                 1.2175,                 2.7952,                 1.5237,                 1.0034,                0.78379,                0.39177,                0.43543,                0.34353,                0.77552,                0.37586,                0.41477,                0.27807,                 1.2787,                 3.1599,                 1.8258,                 1.0327,             0.00034429,             0.00034429,             0.00034429
                    100,                 1.2065,                 2.7776,                 1.5157,                0.99603,                0.76769,                0.39255,                0.43537,                0.34396,                0.78676,                0.37142,                0.41353,                0.27684,                 1.2769,                 3.1546,                  1.828,                 1.0307,             0.00024268,             0.00024268,             0.00024268
