                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1496,                 2.5171,                 1.6446,                0.96267,                0.80583,                0.41892,                0.46594,                0.35961,                0.79826,                0.40615,                0.44919,                0.30935,                  1.248,                 2.8696,                 1.7116,                0.97866,             0.00029654,             0.00029654,             0.00029654
                     61,                 1.1453,                 2.5088,                 1.6656,                 0.9655,                   0.78,                0.42412,                0.46984,                0.36375,                0.79117,                 0.4068,                0.45298,                 0.3107,                 1.2406,                 2.8851,                 1.7051,                0.97973,             0.00029446,             0.00029446,             0.00029446
                     62,                 1.1521,                  2.559,                 1.6525,                0.96425,                0.83358,                0.41645,                0.47084,                0.36207,                0.82695,                0.40192,                0.45325,                0.31079,                  1.242,                 2.8794,                 1.6865,                0.98027,             0.00029238,             0.00029238,             0.00029238
                     63,                 1.1268,                 2.4782,                 1.6145,                0.95962,                0.82285,                0.41676,                0.47161,                0.36216,                 0.8117,                0.40702,                0.45505,                0.31161,                 1.2564,                 2.8758,                 1.7042,                0.98107,             0.00029031,             0.00029031,             0.00029031
                     64,                 1.1572,                 2.5499,                 1.6538,                0.96466,                 0.8272,                0.41669,                0.47251,                0.36337,                 0.8154,                0.40704,                0.45844,                0.31311,                 1.2404,                 2.8758,                 1.6928,                0.97559,             0.00028823,             0.00028823,             0.00028823
                     65,                 1.1403,                 2.4972,                 1.6511,                0.96132,                   0.81,                0.42106,                0.47324,                0.36743,                0.80768,                0.40511,                0.45422,                0.31638,                 1.2302,                 2.8434,                  1.685,                0.97711,             0.00028615,             0.00028615,             0.00028615
                     66,                 1.1322,                  2.478,                 1.5994,                0.96217,                 0.7897,                0.43096,                0.47081,                0.36432,                0.77801,                 0.4129,                0.45054,                0.31296,                 1.2371,                 2.8771,                   1.69,                 0.9711,             0.00028408,             0.00028408,             0.00028408
                     67,                 1.1411,                 2.5138,                 1.6145,                0.95702,                0.83076,                0.41911,                0.47483,                0.36936,                0.82252,                  0.411,                0.45911,                0.31933,                 1.2259,                 2.8428,                 1.6542,                0.96728,               0.000282,               0.000282,               0.000282
                     68,                 1.1182,                 2.4442,                 1.5737,                0.95339,                0.80185,                0.43214,                0.47621,                0.37155,                0.79045,                0.42008,                  0.461,                0.32028,                 1.2133,                 2.8456,                 1.6344,                0.95936,             0.00027992,             0.00027992,             0.00027992
                     69,                 1.1361,                 2.5034,                 1.5707,                0.95737,                0.80427,                0.43104,                0.47834,                0.37283,                0.81191,                0.41372,                0.46159,                0.31882,                 1.2385,                 2.8806,                 1.6397,                0.96756,             0.00027785,             0.00027785,             0.00027785
                     70,                  1.124,                 2.4842,                 1.5835,                0.95266,                0.80636,                0.43059,                0.47895,                0.37372,                0.79307,                0.41951,                0.46272,                0.32148,                 1.2143,                 2.8262,                 1.6251,                0.96154,             0.00027577,             0.00027577,             0.00027577
                     71,                 1.1223,                 2.4863,                  1.571,                0.95114,                0.83962,                 0.4192,                0.47854,                0.37279,                0.82286,                0.41127,                0.46417,                0.31992,                 1.2115,                 2.8512,                 1.6316,                0.95299,             0.00027369,             0.00027369,             0.00027369
                     72,                 1.1085,                 2.4517,                 1.5476,                0.94229,                0.83757,                0.42194,                0.47932,                0.37583,                0.83293,                0.40974,                0.46218,                0.32026,                 1.2077,                 2.8417,                 1.6397,                0.95503,             0.00027161,             0.00027161,             0.00027161
                     73,                 1.1195,                 2.4617,                 1.5406,                 0.9517,                0.82731,                0.42771,                0.47681,                0.37229,                0.80558,                0.41946,                0.46173,                0.31812,                 1.2198,                 2.8359,                 1.6446,                0.96133,             0.00026954,             0.00026954,             0.00026954
