                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.3521,                 2.9757,                 2.1338,                 1.0086,                0.69407,                0.33846,                0.37351,                0.28048,                0.66723,                0.32925,                0.35638,                0.22697,                 1.3965,                 3.3018,                 1.9851,                0.98612,              0.0093059,              0.0093059,              0.0093059
                     47,                  1.364,                 2.9881,                 2.1481,                 1.0056,                 0.7081,                0.32429,                0.36484,                0.27068,                0.68294,                0.31319,                0.34444,                0.22076,                 1.4251,                 3.2596,                 2.0428,                 1.0075,              0.0092856,              0.0092856,              0.0092856
                     48,                 1.3374,                 2.9606,                 2.1138,                  1.001,                0.72626,                0.32464,                0.36712,                0.27431,                0.69335,                0.31443,                0.34716,                0.21963,                 1.3917,                 3.2583,                 2.0197,                0.99358,              0.0092652,              0.0092652,              0.0092652
                     49,                 1.3352,                 2.9457,                 2.0802,                0.99859,                0.68357,                0.34311,                0.37671,                0.28385,                 0.6897,                0.32265,                0.35601,                 0.2292,                 1.3965,                 3.2285,                 1.9324,                0.98774,              0.0092449,              0.0092449,              0.0092449
                     50,                 1.2998,                 2.9123,                 2.0346,                0.99348,                0.70891,                0.33227,                0.37248,                0.27954,                0.69403,                0.31859,                0.35196,                0.22684,                 1.3914,                 3.2826,                 1.9732,                0.98933,              0.0092246,              0.0092246,              0.0092246
                     51,                 1.3242,                 2.9344,                 2.0648,                 0.9972,                0.68642,                0.33898,                 0.3765,                0.28488,                0.71165,                0.31826,                0.35779,                0.23223,                 1.3551,                 3.2164,                 1.9353,                0.97332,              0.0092043,              0.0092043,              0.0092043
                     52,                 1.3235,                  2.923,                 2.0575,                0.99585,                0.65899,                0.34708,                0.37586,                0.28151,                0.65989,                 0.3304,                0.35745,                0.22821,                   1.38,                 3.2961,                 1.9369,                  0.984,              0.0091839,              0.0091839,              0.0091839
                     53,                 1.3256,                 2.9424,                 2.0246,                0.98998,                0.68653,                0.34513,                0.38229,                0.28618,                0.69848,                0.33024,                0.36307,                0.23637,                 1.3654,                 3.2178,                 1.9288,                0.97255,              0.0091636,              0.0091636,              0.0091636
                     54,                 1.3282,                 2.9262,                  2.054,                0.99339,                0.74097,                0.34324,                0.38591,                0.28956,                 0.7287,                0.32807,                0.36427,                0.23486,                 1.3597,                 3.2387,                 1.9365,                0.98063,              0.0091433,              0.0091433,              0.0091433
                     55,                 1.3262,                 2.9246,                 2.0346,                0.99681,                 0.7412,                0.34179,                 0.3837,                0.28607,                0.70152,                0.33138,                0.36378,                0.23315,                 1.3856,                 3.2407,                 1.9138,                0.98125,               0.009123,               0.009123,               0.009123
